127.0.0.1 - - [15/Dec/2021:05:37:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:34 +0900] "GET /milkyWayForest/admin/adminIndex.jsp HTTP/1.1" 200 16206
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/js/core/jquery.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/css/paper-dashboard.css?v=2.0.1 HTTP/1.1" 200 142721
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/css/bootstrap.min.css HTTP/1.1" 200 159476
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/demo/demo.css HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/css/adminIndex.css HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/bootstrap/css/bootstrap.css HTTP/1.1" 200 207393
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/image/milkyWayForestLogo.png HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/js/core/popper.min.js HTTP/1.1" 200 18998
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/js/core/bootstrap.min.js HTTP/1.1" 200 59975
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:35 +0900] "GET /milkyWayForest/assets/js/plugins/perfect-scrollbar.jquery.min.js HTTP/1.1" 200 25335
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:36 +0900] "GET /milkyWayForest/assets/js/adminIndex.js HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [15/Dec/2021:05:37:36 +0900] "GET /milkyWayForest/assets/js/plugins/chartjs.min.js HTTP/1.1" 200 157854
